ID,Status Bancario,Duracion del Credito,Historial Crediticio,Proposito del Credito,Monto Solicitado,Ahorro,Antiguedad Empleo,Tasa de pago,Sexo y Estado Civil,Deudores o Avales,Tiempo de Residencia,Propiedad,Edad,Otros pagos,Alojamiento,Credito Otorgados,Tipo de Empleo,Personas Responsables,Telefono,Extranjero
754,no checking account,30,critical account,radio/television,5771,... <100 DM,4<= ... < 7 years,4,divorced/separated/married,none,2,"car or other, not in attribute 6",25,none,own,2,skilled employee / official,1,none,yes
755,no checking account,12,delay in paying off in the past,repairs,1555,.. >= 1000 DM,.. >= 7 years,4,single,none,4,unknown / no property,55,none,for free,2,skilled employee / official,2,none,yes
756,... <0 DM,24,existing credits paid back duly till now,car (new),1285,unknown/ no savings account,4<= ... < 7 years,4,divorced/separated/married,none,4,unknown / no property,32,none,rent,1,skilled employee / official,1,none,yes
757,... >= 200 DM ,6,critical account,car (new),1299,... <100 DM,1<= ... < 4 years,1,single,none,1,real estate,74,none,own,3,unemployed/ unskilled- non-resident,2,none,no
758,... >= 200 DM ,15,critical account,radio/television,1271,unknown/ no savings account,1<= ... < 4 years,3,single,none,4,unknown / no property,39,none,for free,2,skilled employee / official,1,"yes, registered under the customers name",yes
759,no checking account,24,existing credits paid back duly till now,car (new),1393,... <100 DM,1<= ... < 4 years,2,single,guarantor,2,real estate,31,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes
760,... <0 DM,12,critical account,car (new),691,... <100 DM,.. >= 7 years,4,single,none,3,building society savings agreement,35,none,own,2,skilled employee / official,1,none,yes
761,no checking account,15,critical account,car (new),5045,unknown/ no savings account,.. >= 7 years,1,divorced/separated/married,none,4,"car or other, not in attribute 6",59,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes
762,... <0 DM,18,critical account,furniture/equipment,2124,... <100 DM,1<= ... < 4 years,4,divorced/separated/married,none,4,real estate,24,none,rent,2,skilled employee / official,1,none,yes
763,... <0 DM,12,existing credits paid back duly till now,radio/television,2214,... <100 DM,1<= ... < 4 years,4,single,none,3,building society savings agreement,24,none,own,1,unskilled - resident,1,none,yes
764,no checking account,21,critical account,car (new),12680,unknown/ no savings account,.. >= 7 years,4,single,none,4,unknown / no property,30,none,for free,1,management/ self-employed,1,"yes, registered under the customers name",yes
765,no checking account,24,critical account,car (new),2463,100 <= ... <500 DM,4<= ... < 7 years,4,married/widowed,none,3,building society savings agreement,27,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes
766,0 <= ... <200 DM,12,existing credits paid back duly till now,radio/television,1155,... <100 DM,.. >= 7 years,3,married/widowed,guarantor,3,real estate,40,bank,own,2,unskilled - resident,1,none,yes
767,... <0 DM,30,existing credits paid back duly till now,furniture/equipment,3108,... <100 DM,... < 1 year,2,divorced/separated,none,4,building society savings agreement,31,none,own,1,unskilled - resident,1,none,yes
768,no checking account,10,existing credits paid back duly till now,car (used),2901,unknown/ no savings account,... < 1 year,1,divorced/separated/married,none,4,real estate,31,none,rent,1,skilled employee / official,1,none,yes
769,0 <= ... <200 DM,12,critical account,furniture/equipment,3617,... <100 DM,.. >= 7 years,1,single,none,4,"car or other, not in attribute 6",28,none,rent,3,skilled employee / official,1,"yes, registered under the customers name",yes
770,no checking account,12,critical account,radio/television,1655,... <100 DM,.. >= 7 years,2,single,none,4,real estate,63,none,own,2,unskilled - resident,1,"yes, registered under the customers name",yes
771,... <0 DM,24,existing credits paid back duly till now,car (used),2812,unknown/ no savings account,.. >= 7 years,2,divorced/separated/married,none,4,real estate,26,none,rent,1,skilled employee / official,1,none,yes
772,... <0 DM,36,critical account,education,8065,... <100 DM,1<= ... < 4 years,3,divorced/separated/married,none,2,unknown / no property,25,none,own,2,management/ self-employed,1,"yes, registered under the customers name",yes
773,no checking account,21,critical account,car (used),3275,... <100 DM,.. >= 7 years,1,single,none,4,"car or other, not in attribute 6",36,none,own,1,management/ self-employed,1,"yes, registered under the customers name",yes
774,no checking account,24,critical account,radio/television,2223,100 <= ... <500 DM,.. >= 7 years,4,single,none,4,building society savings agreement,52,bank,own,2,skilled employee / official,1,none,yes
775,... >= 200 DM ,12,critical account,car (new),1480,500 <= ... < 1000 DM,unemployed,2,single,none,4,unknown / no property,66,bank,for free,3,unemployed/ unskilled- non-resident,1,none,yes
776,... <0 DM,24,existing credits paid back duly till now,car (new),1371,unknown/ no savings account,1<= ... < 4 years,4,divorced/separated/married,none,4,real estate,25,none,rent,1,skilled employee / official,1,none,yes
777,no checking account,36,critical account,car (new),3535,... <100 DM,4<= ... < 7 years,4,single,none,4,"car or other, not in attribute 6",37,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes
778,... <0 DM,18,existing credits paid back duly till now,radio/television,3509,... <100 DM,4<= ... < 7 years,4,divorced/separated/married,guarantor,1,real estate,25,none,own,1,skilled employee / official,1,none,yes
779,no checking account,36,critical account,car (used),5711,.. >= 1000 DM,.. >= 7 years,4,single,none,2,"car or other, not in attribute 6",38,none,own,2,management/ self-employed,1,"yes, registered under the customers name",yes
780,0 <= ... <200 DM,18,existing credits paid back duly till now,repairs,3872,... <100 DM,unemployed,2,divorced/separated/married,none,4,"car or other, not in attribute 6",67,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes
781,0 <= ... <200 DM,39,critical account,radio/television,4933,... <100 DM,4<= ... < 7 years,2,single,guarantor,2,real estate,25,none,own,2,skilled employee / official,1,none,yes
782,no checking account,24,critical account,car (new),1940,.. >= 1000 DM,.. >= 7 years,4,single,none,4,real estate,60,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes
783,0 <= ... <200 DM,12,no credits taken,retraining,1410,... <100 DM,1<= ... < 4 years,2,single,none,2,real estate,31,none,own,1,unskilled - resident,1,"yes, registered under the customers name",yes
784,0 <= ... <200 DM,12,existing credits paid back duly till now,car (new),836,100 <= ... <500 DM,... < 1 year,4,divorced/separated/married,none,2,building society savings agreement,23,bank,own,1,unskilled - resident,1,none,yes
785,0 <= ... <200 DM,20,existing credits paid back duly till now,car (used),6468,unknown/ no savings account,unemployed,1,divorced/separated,none,4,real estate,60,none,own,1,management/ self-employed,1,"yes, registered under the customers name",yes
786,0 <= ... <200 DM,18,existing credits paid back duly till now,business,1941,.. >= 1000 DM,1<= ... < 4 years,4,single,none,2,building society savings agreement,35,none,own,1,unskilled - resident,1,"yes, registered under the customers name",yes
787,no checking account,22,existing credits paid back duly till now,radio/television,2675,500 <= ... < 1000 DM,.. >= 7 years,3,single,none,4,"car or other, not in attribute 6",40,none,own,1,skilled employee / official,1,none,yes
788,no checking account,48,critical account,car (used),2751,unknown/ no savings account,.. >= 7 years,4,single,none,3,"car or other, not in attribute 6",38,none,own,2,skilled employee / official,2,"yes, registered under the customers name",yes
789,0 <= ... <200 DM,48,delay in paying off in the past,education,6224,... <100 DM,.. >= 7 years,4,single,none,4,unknown / no property,50,none,for free,1,skilled employee / official,1,none,yes
790,... <0 DM,40,critical account,education,5998,... <100 DM,1<= ... < 4 years,4,single,none,3,unknown / no property,27,bank,own,1,skilled employee / official,1,"yes, registered under the customers name",yes
791,0 <= ... <200 DM,21,existing credits paid back duly till now,business,1188,... <100 DM,.. >= 7 years,2,divorced/separated/married,none,4,building society savings agreement,39,none,own,1,skilled employee / official,2,none,yes
792,no checking account,24,existing credits paid back duly till now,car (used),6313,unknown/ no savings account,.. >= 7 years,3,single,none,4,"car or other, not in attribute 6",41,none,own,1,management/ self-employed,2,"yes, registered under the customers name",yes
793,no checking account,6,critical account,furniture/equipment,1221,unknown/ no savings account,1<= ... < 4 years,1,married/widowed,none,2,building society savings agreement,27,none,own,2,skilled employee / official,1,none,yes
794,... >= 200 DM ,24,existing credits paid back duly till now,furniture/equipment,2892,... <100 DM,.. >= 7 years,3,divorced/separated,none,4,unknown / no property,51,none,for free,1,skilled employee / official,1,none,yes
795,no checking account,24,existing credits paid back duly till now,furniture/equipment,3062,500 <= ... < 1000 DM,.. >= 7 years,4,single,none,3,unknown / no property,32,none,rent,1,skilled employee / official,1,"yes, registered under the customers name",yes
796,no checking account,9,existing credits paid back duly till now,furniture/equipment,2301,100 <= ... <500 DM,... < 1 year,2,divorced/separated/married,none,4,building society savings agreement,22,none,rent,1,skilled employee / official,1,none,yes
797,... <0 DM,18,existing credits paid back duly till now,car (used),7511,unknown/ no savings account,.. >= 7 years,1,single,none,4,building society savings agreement,51,none,for free,1,skilled employee / official,2,"yes, registered under the customers name",yes
798,no checking account,12,critical account,furniture/equipment,1258,... <100 DM,... < 1 year,2,divorced/separated/married,none,4,building society savings agreement,22,none,rent,2,unskilled - resident,1,none,yes
799,no checking account,24,delay in paying off in the past,car (new),717,unknown/ no savings account,.. >= 7 years,4,married/widowed,none,4,"car or other, not in attribute 6",54,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes
800,0 <= ... <200 DM,9,existing credits paid back duly till now,car (new),1549,unknown/ no savings account,... < 1 year,4,single,none,2,real estate,35,none,own,1,unemployed/ unskilled- non-resident,1,none,yes
801,no checking account,24,critical account,education,1597,... <100 DM,.. >= 7 years,4,single,none,4,unknown / no property,54,none,for free,2,skilled employee / official,2,none,yes
802,0 <= ... <200 DM,18,critical account,radio/television,1795,... <100 DM,.. >= 7 years,3,divorced/separated/married,guarantor,4,real estate,48,bank,rent,2,unskilled - resident,1,"yes, registered under the customers name",yes
803,... <0 DM,20,critical account,furniture/equipment,4272,... <100 DM,.. >= 7 years,1,divorced/separated/married,none,4,building society savings agreement,24,none,own,2,skilled employee / official,1,none,yes
804,no checking account,12,critical account,radio/television,976,unknown/ no savings account,.. >= 7 years,4,single,none,4,"car or other, not in attribute 6",35,none,own,2,skilled employee / official,1,none,yes
805,0 <= ... <200 DM,12,existing credits paid back duly till now,car (new),7472,unknown/ no savings account,unemployed,1,divorced/separated/married,none,2,real estate,24,none,rent,1,unemployed/ unskilled- non-resident,1,none,yes
806,... <0 DM,36,existing credits paid back duly till now,car (new),9271,... <100 DM,4<= ... < 7 years,2,single,none,1,"car or other, not in attribute 6",24,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes
807,0 <= ... <200 DM,6,existing credits paid back duly till now,radio/television,590,... <100 DM,... < 1 year,3,married/widowed,none,3,real estate,26,none,own,1,unskilled - resident,1,none,no
808,no checking account,12,critical account,radio/television,930,unknown/ no savings account,.. >= 7 years,4,single,none,4,real estate,65,none,own,4,skilled employee / official,1,none,yes
809,0 <= ... <200 DM,42,all credits at this bank paid back duly,car (used),9283,... <100 DM,unemployed,1,single,none,2,unknown / no property,55,bank,for free,1,management/ self-employed,1,"yes, registered under the customers name",yes
810,0 <= ... <200 DM,15,no credits taken,car (new),1778,... <100 DM,... < 1 year,2,divorced/separated/married,none,1,real estate,26,none,rent,2,unemployed/ unskilled- non-resident,1,none,yes
811,0 <= ... <200 DM,8,existing credits paid back duly till now,business,907,... <100 DM,... < 1 year,3,married/widowed,none,2,real estate,26,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes
812,0 <= ... <200 DM,6,existing credits paid back duly till now,radio/television,484,... <100 DM,4<= ... < 7 years,3,married/widowed,guarantor,3,real estate,28,bank,own,1,unskilled - resident,1,none,yes
813,... <0 DM,36,critical account,car (used),9629,... <100 DM,4<= ... < 7 years,4,single,none,4,"car or other, not in attribute 6",24,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes
814,... <0 DM,48,existing credits paid back duly till now,domestic appliances,3051,... <100 DM,1<= ... < 4 years,3,single,none,4,"car or other, not in attribute 6",54,none,own,1,skilled employee / official,1,none,yes
815,... <0 DM,48,existing credits paid back duly till now,car (new),3931,... <100 DM,4<= ... < 7 years,4,single,none,4,unknown / no property,46,none,for free,1,skilled employee / official,2,none,yes
816,0 <= ... <200 DM,36,delay in paying off in the past,car (new),7432,... <100 DM,1<= ... < 4 years,2,divorced/separated/married,none,2,building society savings agreement,54,none,rent,1,skilled employee / official,1,none,yes
817,no checking account,6,existing credits paid back duly till now,domestic appliances,1338,500 <= ... < 1000 DM,1<= ... < 4 years,1,divorced/separated,none,4,real estate,62,none,own,1,skilled employee / official,1,none,yes
818,no checking account,6,critical account,radio/television,1554,... <100 DM,4<= ... < 7 years,1,divorced/separated/married,none,2,"car or other, not in attribute 6",24,none,rent,2,skilled employee / official,1,"yes, registered under the customers name",yes
819,... <0 DM,36,existing credits paid back duly till now,others,15857,... <100 DM,unemployed,2,divorced/separated,co-applicant,3,"car or other, not in attribute 6",43,none,own,1,management/ self-employed,1,none,yes
820,... <0 DM,18,existing credits paid back duly till now,radio/television,1345,... <100 DM,1<= ... < 4 years,4,married/widowed,none,3,real estate,26,bank,own,1,skilled employee / official,1,none,yes
821,no checking account,12,existing credits paid back duly till now,car (new),1101,... <100 DM,1<= ... < 4 years,3,married/widowed,none,2,real estate,27,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes
822,... >= 200 DM ,12,existing credits paid back duly till now,radio/television,3016,... <100 DM,1<= ... < 4 years,3,married/widowed,none,1,"car or other, not in attribute 6",24,none,own,1,skilled employee / official,1,none,yes
823,... <0 DM,36,existing credits paid back duly till now,furniture/equipment,2712,... <100 DM,.. >= 7 years,2,single,none,2,building society savings agreement,41,bank,own,1,skilled employee / official,2,none,yes
824,... <0 DM,8,critical account,car (new),731,... <100 DM,.. >= 7 years,4,single,none,4,real estate,47,none,own,2,unskilled - resident,1,none,yes
825,no checking account,18,critical account,furniture/equipment,3780,... <100 DM,... < 1 year,3,divorced/separated,none,2,"car or other, not in attribute 6",35,none,own,2,management/ self-employed,1,"yes, registered under the customers name",yes
826,... <0 DM,21,critical account,car (new),1602,... <100 DM,.. >= 7 years,4,married/widowed,none,3,"car or other, not in attribute 6",30,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes
827,... <0 DM,18,critical account,car (new),3966,... <100 DM,.. >= 7 years,1,divorced/separated/married,none,4,real estate,33,bank,rent,3,skilled employee / official,1,"yes, registered under the customers name",yes
828,no checking account,18,no credits taken,business,4165,... <100 DM,1<= ... < 4 years,2,single,none,2,"car or other, not in attribute 6",36,stores,own,2,skilled employee / official,2,none,yes
829,... <0 DM,36,existing credits paid back duly till now,car (used),8335,unknown/ no savings account,.. >= 7 years,3,single,none,4,unknown / no property,47,none,for free,1,skilled employee / official,1,none,yes
830,0 <= ... <200 DM,48,delay in paying off in the past,business,6681,unknown/ no savings account,1<= ... < 4 years,4,single,none,4,unknown / no property,38,none,for free,1,skilled employee / official,2,"yes, registered under the customers name",yes
831,no checking account,24,delay in paying off in the past,business,2375,500 <= ... < 1000 DM,1<= ... < 4 years,4,single,none,2,"car or other, not in attribute 6",44,none,own,2,skilled employee / official,2,"yes, registered under the customers name",yes
832,... <0 DM,18,existing credits paid back duly till now,car (new),1216,... <100 DM,... < 1 year,4,divorced/separated/married,none,3,"car or other, not in attribute 6",23,none,rent,1,skilled employee / official,1,"yes, registered under the customers name",yes
833,... <0 DM,45,no credits taken,business,11816,... <100 DM,.. >= 7 years,2,single,none,4,"car or other, not in attribute 6",29,none,rent,2,skilled employee / official,1,none,yes
834,0 <= ... <200 DM,24,existing credits paid back duly till now,radio/television,5084,unknown/ no savings account,.. >= 7 years,2,divorced/separated/married,none,4,"car or other, not in attribute 6",42,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes
835,... >= 200 DM ,15,existing credits paid back duly till now,radio/television,2327,... <100 DM,... < 1 year,2,divorced/separated/married,none,3,real estate,25,none,own,1,unskilled - resident,1,none,yes
836,... <0 DM,12,no credits taken,car (new),1082,... <100 DM,1<= ... < 4 years,4,single,none,4,"car or other, not in attribute 6",48,bank,own,2,skilled employee / official,1,none,yes
837,no checking account,12,existing credits paid back duly till now,radio/television,886,unknown/ no savings account,1<= ... < 4 years,4,divorced/separated/married,none,2,"car or other, not in attribute 6",21,none,own,1,skilled employee / official,1,none,yes
838,no checking account,4,existing credits paid back duly till now,furniture/equipment,601,... <100 DM,... < 1 year,1,divorced/separated/married,none,3,real estate,23,none,rent,1,unskilled - resident,2,none,yes
839,... <0 DM,24,critical account,car (used),2957,... <100 DM,.. >= 7 years,4,single,none,4,building society savings agreement,63,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes
840,no checking account,24,critical account,radio/television,2611,... <100 DM,.. >= 7 years,4,married/widowed,co-applicant,3,real estate,46,none,own,2,skilled employee / official,1,none,yes
841,... <0 DM,36,existing credits paid back duly till now,furniture/equipment,5179,... <100 DM,4<= ... < 7 years,4,single,none,2,building society savings agreement,29,none,own,1,skilled employee / official,1,none,yes
842,no checking account,21,delay in paying off in the past,car (used),2993,... <100 DM,1<= ... < 4 years,3,single,none,2,real estate,28,stores,own,2,unskilled - resident,1,none,yes
843,no checking account,18,existing credits paid back duly till now,repairs,1943,... <100 DM,... < 1 year,4,divorced/separated/married,none,4,real estate,23,none,own,1,skilled employee / official,1,none,yes
844,no checking account,24,all credits at this bank paid back duly,business,1559,... <100 DM,4<= ... < 7 years,4,single,none,4,"car or other, not in attribute 6",50,bank,own,1,skilled employee / official,1,"yes, registered under the customers name",yes
845,no checking account,18,existing credits paid back duly till now,furniture/equipment,3422,... <100 DM,.. >= 7 years,4,single,none,4,building society savings agreement,47,bank,own,3,skilled employee / official,2,"yes, registered under the customers name",yes
846,0 <= ... <200 DM,21,existing credits paid back duly till now,furniture/equipment,3976,unknown/ no savings account,4<= ... < 7 years,2,single,none,3,"car or other, not in attribute 6",35,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes
847,no checking account,18,existing credits paid back duly till now,car (new),6761,unknown/ no savings account,1<= ... < 4 years,2,single,none,4,"car or other, not in attribute 6",68,none,rent,2,skilled employee / official,1,none,yes
848,no checking account,24,existing credits paid back duly till now,car (new),1249,... <100 DM,... < 1 year,4,married/widowed,none,2,real estate,28,none,own,1,skilled employee / official,1,none,yes
849,... <0 DM,9,existing credits paid back duly till now,radio/television,1364,... <100 DM,4<= ... < 7 years,3,single,none,4,real estate,59,none,own,1,skilled employee / official,1,none,yes
850,... <0 DM,12,existing credits paid back duly till now,radio/television,709,... <100 DM,.. >= 7 years,4,single,none,4,real estate,57,stores,own,1,unskilled - resident,1,none,yes
851,... <0 DM,20,critical account,car (new),2235,... <100 DM,1<= ... < 4 years,4,married/widowed,guarantor,2,building society savings agreement,33,bank,rent,2,skilled employee / official,1,none,no
852,no checking account,24,critical account,car (used),4042,unknown/ no savings account,4<= ... < 7 years,3,single,none,4,building society savings agreement,43,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes
853,no checking account,15,critical account,radio/television,1471,... <100 DM,1<= ... < 4 years,4,single,none,4,unknown / no property,35,none,for free,2,skilled employee / official,1,"yes, registered under the customers name",yes
854,... <0 DM,18,all credits at this bank paid back duly,car (new),1442,... <100 DM,4<= ... < 7 years,4,single,none,4,unknown / no property,32,none,for free,2,unskilled - resident,2,none,yes
855,no checking account,36,delay in paying off in the past,car (new),10875,... <100 DM,.. >= 7 years,2,single,none,2,"car or other, not in attribute 6",45,none,own,2,skilled employee / official,2,"yes, registered under the customers name",yes
856,no checking account,24,existing credits paid back duly till now,car (new),1474,100 <= ... <500 DM,... < 1 year,4,married/widowed,none,3,real estate,33,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes
857,no checking account,10,existing credits paid back duly till now,retraining,894,unknown/ no savings account,4<= ... < 7 years,4,divorced/separated/married,none,3,building society savings agreement,40,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes
858,no checking account,15,critical account,furniture/equipment,3343,... <100 DM,1<= ... < 4 years,4,single,none,2,unknown / no property,28,none,for free,1,skilled employee / official,1,"yes, registered under the customers name",yes
859,... <0 DM,15,existing credits paid back duly till now,car (new),3959,... <100 DM,1<= ... < 4 years,3,divorced/separated/married,none,2,building society savings agreement,29,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes
860,no checking account,9,existing credits paid back duly till now,car (new),3577,100 <= ... <500 DM,1<= ... < 4 years,1,single,guarantor,2,real estate,26,none,rent,1,skilled employee / official,2,none,no
861,no checking account,24,critical account,car (used),5804,.. >= 1000 DM,1<= ... < 4 years,4,single,none,2,real estate,27,none,own,2,skilled employee / official,1,none,yes
862,no checking account,18,delay in paying off in the past,business,2169,... <100 DM,1<= ... < 4 years,4,married/widowed,none,2,"car or other, not in attribute 6",28,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes
863,... <0 DM,24,existing credits paid back duly till now,radio/television,2439,... <100 DM,... < 1 year,4,divorced/separated/married,none,4,real estate,35,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes
864,no checking account,27,critical account,furniture/equipment,4526,.. >= 1000 DM,... < 1 year,4,single,none,2,real estate,32,stores,own,2,unskilled - resident,2,"yes, registered under the customers name",yes
865,no checking account,10,existing credits paid back duly till now,furniture/equipment,2210,... <100 DM,1<= ... < 4 years,2,single,none,2,real estate,25,bank,rent,1,unskilled - resident,1,none,yes
866,no checking account,15,existing credits paid back duly till now,furniture/equipment,2221,500 <= ... < 1000 DM,1<= ... < 4 years,2,divorced/separated/married,none,4,"car or other, not in attribute 6",20,none,rent,1,skilled employee / official,1,none,yes
867,... <0 DM,18,existing credits paid back duly till now,radio/television,2389,... <100 DM,... < 1 year,4,divorced/separated/married,none,1,"car or other, not in attribute 6",27,stores,own,1,skilled employee / official,1,none,yes
868,no checking account,12,critical account,furniture/equipment,3331,... <100 DM,.. >= 7 years,2,single,none,4,building society savings agreement,42,stores,own,1,skilled employee / official,1,none,yes
869,no checking account,36,existing credits paid back duly till now,business,7409,unknown/ no savings account,.. >= 7 years,3,single,none,2,building society savings agreement,37,none,own,2,skilled employee / official,1,none,yes
870,... <0 DM,12,existing credits paid back duly till now,furniture/equipment,652,... <100 DM,.. >= 7 years,4,divorced/separated/married,none,4,building society savings agreement,24,none,rent,1,skilled employee / official,1,none,yes
871,no checking account,36,delay in paying off in the past,furniture/equipment,7678,500 <= ... < 1000 DM,4<= ... < 7 years,2,divorced/separated/married,none,4,"car or other, not in attribute 6",40,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes
872,... >= 200 DM ,6,critical account,car (new),1343,... <100 DM,.. >= 7 years,1,single,none,4,real estate,46,none,own,2,skilled employee / official,2,none,no
873,... <0 DM,24,critical account,business,1382,100 <= ... <500 DM,4<= ... < 7 years,4,single,none,1,real estate,26,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes
874,no checking account,15,existing credits paid back duly till now,domestic appliances,874,unknown/ no savings account,... < 1 year,4,divorced/separated/married,none,1,real estate,24,none,own,1,skilled employee / official,1,none,yes
875,... <0 DM,12,existing credits paid back duly till now,furniture/equipment,3590,... <100 DM,1<= ... < 4 years,2,single,co-applicant,2,building society savings agreement,29,none,own,1,unskilled - resident,2,none,yes
876,0 <= ... <200 DM,11,critical account,car (new),1322,.. >= 1000 DM,1<= ... < 4 years,4,divorced/separated/married,none,4,"car or other, not in attribute 6",40,none,own,2,skilled employee / official,1,none,yes
877,... <0 DM,18,all credits at this bank paid back duly,radio/television,1940,... <100 DM,... < 1 year,3,single,co-applicant,4,unknown / no property,36,bank,for free,1,management/ self-employed,1,"yes, registered under the customers name",yes
878,no checking account,36,existing credits paid back duly till now,radio/television,3595,... <100 DM,.. >= 7 years,4,single,none,2,"car or other, not in attribute 6",28,none,own,1,skilled employee / official,1,none,yes
879,... <0 DM,9,existing credits paid back duly till now,car (new),1422,... <100 DM,... < 1 year,3,single,none,2,unknown / no property,27,none,for free,1,management/ self-employed,1,"yes, registered under the customers name",yes
880,no checking account,30,critical account,radio/television,6742,unknown/ no savings account,4<= ... < 7 years,2,single,none,3,building society savings agreement,36,none,own,2,skilled employee / official,1,none,yes
881,no checking account,24,existing credits paid back duly till now,car (used),7814,... <100 DM,4<= ... < 7 years,3,single,none,3,"car or other, not in attribute 6",38,none,own,1,management/ self-employed,1,"yes, registered under the customers name",yes
882,no checking account,24,existing credits paid back duly till now,car (used),9277,unknown/ no savings account,1<= ... < 4 years,2,divorced/separated,none,4,unknown / no property,48,none,for free,1,skilled employee / official,1,"yes, registered under the customers name",yes
883,0 <= ... <200 DM,30,critical account,car (new),2181,unknown/ no savings account,.. >= 7 years,4,single,none,4,real estate,36,none,own,2,skilled employee / official,1,none,yes
884,no checking account,18,critical account,radio/television,1098,... <100 DM,unemployed,4,divorced/separated/married,none,4,"car or other, not in attribute 6",65,none,own,2,unemployed/ unskilled- non-resident,1,none,yes
885,0 <= ... <200 DM,24,existing credits paid back duly till now,furniture/equipment,4057,... <100 DM,4<= ... < 7 years,3,divorced/separated,none,3,"car or other, not in attribute 6",43,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes
886,... <0 DM,12,existing credits paid back duly till now,education,795,... <100 DM,... < 1 year,4,divorced/separated/married,none,4,building society savings agreement,53,none,own,1,skilled employee / official,1,none,yes
887,0 <= ... <200 DM,24,critical account,business,2825,unknown/ no savings account,4<= ... < 7 years,4,single,none,3,unknown / no property,34,none,own,2,skilled employee / official,2,"yes, registered under the customers name",yes
888,0 <= ... <200 DM,48,existing credits paid back duly till now,business,15672,... <100 DM,1<= ... < 4 years,2,single,none,2,"car or other, not in attribute 6",23,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes
889,no checking account,36,critical account,car (new),6614,... <100 DM,.. >= 7 years,4,single,none,4,"car or other, not in attribute 6",34,none,own,2,management/ self-employed,1,"yes, registered under the customers name",yes
890,no checking account,28,all credits at this bank paid back duly,car (used),7824,unknown/ no savings account,... < 1 year,3,single,guarantor,4,real estate,40,bank,rent,2,skilled employee / official,2,"yes, registered under the customers name",yes
891,... <0 DM,27,critical account,business,2442,... <100 DM,.. >= 7 years,4,single,none,4,"car or other, not in attribute 6",43,stores,own,4,management/ self-employed,2,"yes, registered under the customers name",yes
892,no checking account,15,critical account,radio/television,1829,... <100 DM,.. >= 7 years,4,single,none,4,"car or other, not in attribute 6",46,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes
893,... <0 DM,12,critical account,car (new),2171,... <100 DM,1<= ... < 4 years,4,single,none,4,building society savings agreement,38,bank,own,2,unskilled - resident,1,none,no
894,0 <= ... <200 DM,36,critical account,car (used),5800,... <100 DM,1<= ... < 4 years,3,single,none,4,"car or other, not in attribute 6",34,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes
895,no checking account,18,critical account,radio/television,1169,unknown/ no savings account,1<= ... < 4 years,4,single,none,3,building society savings agreement,29,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes
896,no checking account,36,delay in paying off in the past,car (used),8947,unknown/ no savings account,4<= ... < 7 years,3,single,none,2,"car or other, not in attribute 6",31,stores,own,1,management/ self-employed,2,"yes, registered under the customers name",yes
897,... <0 DM,21,existing credits paid back duly till now,radio/television,2606,... <100 DM,... < 1 year,4,divorced/separated/married,none,4,building society savings agreement,28,none,rent,1,management/ self-employed,1,"yes, registered under the customers name",yes
898,no checking account,12,critical account,furniture/equipment,1592,.. >= 1000 DM,4<= ... < 7 years,3,divorced/separated/married,none,2,building society savings agreement,35,none,own,1,skilled employee / official,1,none,no
899,no checking account,15,existing credits paid back duly till now,furniture/equipment,2186,unknown/ no savings account,4<= ... < 7 years,1,divorced/separated/married,none,4,real estate,33,bank,rent,1,unskilled - resident,1,none,yes
900,... <0 DM,18,existing credits paid back duly till now,furniture/equipment,4153,... <100 DM,1<= ... < 4 years,2,single,co-applicant,3,"car or other, not in attribute 6",42,none,own,1,skilled employee / official,1,none,yes
901,... <0 DM,16,critical account,car (new),2625,... <100 DM,.. >= 7 years,2,single,guarantor,4,building society savings agreement,43,bank,rent,1,skilled employee / official,1,"yes, registered under the customers name",yes
902,no checking account,20,critical account,car (new),3485,unknown/ no savings account,... < 1 year,2,divorced/separated,none,4,real estate,44,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes
